id,marca,modelo,ano,quilometragem,ultimo_reparo,qntd_reparos,cambio
1049,Fiat,Uno,2013,277478,2024-08-08,10,Automático
1050,Honda,Fit,2012,248803,2024-08-11,8,Automático
1051,Kia,Stonic,2007,187652,2024-09-06,15,Manual
1052,Jeep,Liberty,2009,77783,2024-08-26,6,Manual
1053,Hyundai,Kona,2015,238743,2024-08-17,7,Automático
1054,Jeep,Compass,2023,179413,2024-08-03,5,Automático
1055,Honda,Insight,2017,215749,2024-08-03,7,Automático
1056,Honda,Accord,2018,140608,2024-08-21,11,Manual
1057,Toyota,Hilux,2021,288015,2024-08-22,11,Automático
1058,Ford,Fusion,2009,249515,2024-08-13,8,Automático
1059,Toyota,Yaris,2012,176648,2024-08-22,12,Manual
1060,Mercedes-Benz,G-Class,2013,80942,2024-08-28,5,Manual
1061,Hyundai,Azera,2013,144597,2024-08-29,11,Manual
1062,Renault,Mégane,2020,140491,2024-09-04,5,Automático
1063,Fiat,Palio,2007,191053,2024-08-20,16,Manual
1064,Volkswagen,Gol,2021,150192,2024-08-13,10,Manual
1065,Chevrolet,Onix,2021,122208,2024-08-26,11,Manual
1066,Subaru,Forester,2018,193039,2024-08-27,19,Manual
1067,Subaru,WRX,2021,41164,2024-07-21,4,Manual
1068,Toyota,Corolla,2018,162599,2024-09-07,10,Manual
1069,Volkswagen,Arteon,2019,120287,2024-08-23,4,Automático
1070,Peugeot,2008,2019,88569,2024-08-02,7,Manual
1071,Mercedes-Benz,SLC,2019,211167,2024-08-15,8,Automático
1072,Nissan,Navara,2022,194919,2024-08-21,17,Manual
1073,Hyundai,Azera,2018,84630,2024-08-25,7,Manual
1074,Ford,Edge,2015,8532,2024-08-06,1,Automático
1075,BMW,Z4,2009,174043,2024-08-24,15,Manual
1076,Fiat,Tipo,2012,106043,2024-08-27,9,Manual
1077,Chevrolet,Trailblazer,2015,130620,2024-06-30,4,Automático
1078,Honda,Odyssey,2008,297976,2024-09-02,24,Manual
1079,Honda,Fit,2015,129545,2024-08-23,4,Automático
1080,Renault,Clio,2018,180002,2024-08-29,12,Manual
1081,Fiat,Strada,2011,60663,2024-08-25,6,Manual
1082,Nissan,X-Trail,2022,165544,2024-07-23,5,Automático
1083,Renault,Talisman,2007,71202,2024-05-21,2,Automático
1084,Fiat,Fiorino,2010,83725,2024-07-26,6,Manual
1085,Toyota,Etios,2014,58943,2024-08-19,5,Manual
1086,Toyota,Fortuner,2015,18620,2024-08-28,1,Automático
1087,Fiat,Tipo,2012,131719,2024-09-05,12,Manual
1088,Kia,Carnival,2008,257006,2024-08-22,9,Automático
1089,BMW,Z4,2023,49741,2024-08-07,3,Manual
1090,Chevrolet,Trailblazer,2014,166546,2024-08-02,6,Automático
1091,Honda,HR-V,2017,127412,2024-08-12,8,Manual
1092,Renault,Talisman,2010,175842,2024-08-13,11,Manual
1093,Chevrolet,Cobalt,2022,269625,2024-09-05,17,Manual
1094,Chevrolet,Camaro,2010,37954,2024-08-17,1,Automático
1095,Jeep,Liberty,2010,111353,2024-08-21,9,Manual
1096,Peugeot,2008,2019,96335,2024-07-10,3,Automático
1097,Subaru,Outback,2016,59035,2024-04-05,1,Automático
1098,Volkswagen,Arteon,2021,74025,2024-07-01,2,Automático
1099,Volkswagen,Gol,2022,266512,2024-08-18,10,Automático
1100,Subaru,Impreza,2013,143014,2024-09-05,9,Manual
1101,Volkswagen,T-Cross,2022,196178,2024-08-09,7,Automático
1102,Chevrolet,Trailblazer,2016,179766,2024-09-05,5,Automático
1103,Mercedes-Benz,C-Class,2009,138960,2024-08-09,9,Manual
1104,Honda,Civic,2010,259442,2024-08-16,10,Automático
1105,BMW,118i,2008,217682,2024-08-15,8,Automático
1106,Fiat,Mobi,2021,141954,2024-09-08,4,Automático
1107,Renault,Mégane,2007,294113,2024-09-06,9,Automático
1108,Mitsubishi,Outlander Sport,2012,292475,2024-08-27,20,Manual
1109,Jeep,Renegade,2008,187585,2024-09-08,7,Automático
1110,Honda,Pilot,2016,136976,2024-08-13,5,Automático
1111,Nissan,March,2011,253395,2024-08-05,9,Automático
1112,Subaru,Crosstrek,2018,179162,2024-09-06,15,Manual
1113,Nissan,Versa,2012,213400,2024-08-19,8,Automático
1114,Volkswagen,Polo,2020,219686,2024-09-04,19,Manual
1115,Ford,Focus,2022,125494,2024-08-16,5,Automático
1116,Mitsubishi,ASX,2012,154549,2024-08-18,10,Manual
1117,Renault,Mégane,2023,148655,2024-07-08,4,Automático
1118,Kia,Sportage,2014,261430,2024-09-03,23,Manual
1119,Ford,Focus,2015,266676,2024-08-30,8,Automático
1120,Kia,Stonic,2013,108781,2024-08-08,8,Manual
1121,Jeep,Compass,2009,9338,2024-06-08,2,Manual
1122,Jeep,Wrangler,2016,293970,2024-09-02,10,Automático
1123,Jeep,Compass,2012,50422,2024-06-30,3,Manual
1124,Mercedes-Benz,C-Class,2016,23165,2024-05-09,1,Manual
1125,Mercedes-Benz,SLC,2014,73098,2024-09-06,6,Manual
1126,Renault,Duster,2021,206772,2024-07-29,7,Automático
1127,Ford,Explorer,2017,287533,2024-08-22,11,Automático
1128,Renault,Sandero,2007,134354,2024-08-11,8,Manual
1129,Ford,EcoSport,2017,68119,2024-09-04,6,Manual
1130,Toyota,Hilux,2021,127541,2024-06-30,4,Automático
1131,Hyundai,Veloster,2007,111792,2024-08-25,7,Manual
1132,Toyota,Hilux,2013,124953,2024-07-13,4,Automático
1133,Hyundai,Creta,2023,155810,2024-08-04,6,Automático
1134,Kia,Soul,2016,55804,2024-08-13,2,Automático
1135,Ford,Mustang,2012,92453,2024-06-26,3,Automático
1136,Nissan,Rogue,2013,45280,2024-07-18,3,Manual
1137,BMW,118i,2009,180271,2024-08-03,7,Automático
1138,Subaru,BRZ,2021,114054,2024-08-13,9,Manual
1139,Kia,Picanto,2019,90454,2024-07-17,3,Automático
1140,Jeep,Renegade,2013,29936,2024-08-14,2,Manual
1141,Fiat,Doblò,2018,221917,2024-08-21,15,Manual
1142,Fiat,Fiorino,2018,279414,2024-08-20,10,Automático
1143,Peugeot,3008,2018,108197,2024-08-15,10,Manual
1144,Fiat,Tipo,2007,127359,2024-07-11,5,Automático
1145,Fiat,Fiorino,2023,22002,2024-05-15,1,Manual
1146,Subaru,Forester,2010,69711,2024-08-14,4,Manual
1147,Peugeot,Expert,2015,81521,2024-08-12,7,Manual
1148,Hyundai,Tucson,2023,12770,2024-08-06,1,Automático
1149,Chevrolet,Onix,2019,139305,2024-07-04,4,Automático
1150,Peugeot,Boxer,2014,39490,2024-08-26,2,Manual
1151,Chevrolet,Cruz,2022,287525,2024-08-28,28,Manual
1152,Subaru,BRZ,2011,67188,2024-07-13,4,Manual
1153,Subaru,XV,2011,140335,2024-08-26,10,Manual
1154,Mitsubishi,Mirage,2022,151802,2024-08-29,14,Manual
1155,Peugeot,5008,2018,240261,2024-09-03,16,Manual
1156,Fiat,Bravo,2011,167396,2024-07-21,6,Automático
1157,Subaru,WRX,2013,97476,2024-06-16,3,Automático
1158,Fiat,Uno,2022,223857,2024-09-05,16,Manual
1159,Nissan,X-Trail,2013,257968,2024-08-06,9,Automático
1160,Kia,Niro,2020,52633,2024-07-02,4,Manual
1161,Chevrolet,Camaro,2018,132697,2024-08-08,10,Manual
1162,Nissan,370Z,2013,264373,2024-08-06,8,Automático
1163,Mercedes-Benz,A-Class,2008,237179,2024-08-27,17,Manual
1164,Jeep,Commander,2019,65165,2024-08-01,6,Manual
1165,Hyundai,Veloster,2020,86358,2024-08-06,7,Manual
1166,Nissan,Frontier,2008,270692,2024-08-31,27,Manual
1167,Peugeot,301,2012,137541,2024-08-20,12,Manual
1168,Renault,Talisman,2008,114887,2024-08-28,3,Automático
1169,Kia,Sportage,2021,289204,2024-08-10,10,Automático
1170,Honda,HR-V,2021,117210,2024-08-23,10,Manual
1171,Volkswagen,Virtus,2009,130394,2024-08-17,12,Manual
1172,Subaru,Tribeca,2007,34079,2024-04-04,1,Automático
1173,Renault,Sandero,2023,36158,2024-07-26,3,Manual
1174,Peugeot,508,2012,202844,2024-08-10,6,Automático
1175,Nissan,Kicks,2013,264869,2024-09-02,23,Manual
1176,Honda,Odyssey,2011,140519,2024-08-21,10,Manual
1177,Subaru,Crosstrek,2020,24977,2024-08-02,2,Manual
1178,Mitsubishi,ASX,2016,276266,2024-09-03,11,Automático
1179,Nissan,370Z,2019,190738,2024-08-19,16,Manual
1180,Ford,Kuga,2017,70778,2024-08-08,4,Manual
1181,Mercedes-Benz,S-Class,2014,291752,2024-08-31,11,Automático
1182,Mitsubishi,Outlander Sport,2019,256100,2024-09-03,21,Manual
1183,Renault,Mégane,2008,212178,2024-08-23,7,Automático
1184,Nissan,Versa,2013,57130,2024-09-02,3,Manual
1185,Mitsubishi,Outlander Sport,2018,287141,2024-08-27,27,Manual
1186,Volkswagen,Arteon,2018,57224,2024-06-23,1,Automático
1187,BMW,118i,2009,142095,2024-09-04,13,Manual
1188,Honda,HR-V,2009,232993,2024-09-02,9,Automático
1189,Subaru,Legacy,2016,36696,2024-07-17,1,Automático
1190,Kia,Picanto,2010,30467,2024-07-18,1,Automático
1191,Hyundai,HB20,2014,252203,2024-08-29,23,Manual
1192,Hyundai,i30,2023,263609,2024-08-29,8,Automático
1193,Kia,Sorento,2009,8245,2024-05-11,2,Manual
1194,Nissan,Frontier,2019,297260,2024-08-28,22,Manual
1195,Nissan,Kicks,2012,26260,2024-06-12,1,Automático
1196,Ford,Focus,2013,57271,2024-07-11,3,Manual
1197,Honda,CR-V,2011,210008,2024-08-24,7,Automático
1198,Toyota,Fortuner,2014,273615,2024-08-24,9,Automático
1199,Peugeot,508,2016,156713,2024-07-31,5,Automático
1200,Mercedes-Benz,A-Class,2017,159898,2024-08-18,13,Manual
1201,Honda,Pilot,2009,73336,2024-08-26,6,Manual
1202,Toyota,Fortuner,2013,68316,2024-07-30,5,Manual
1203,Nissan,Navara,2011,170567,2024-08-05,6,Automático
1204,Kia,Carnival,2014,128518,2024-07-15,5,Automático
1205,BMW,118i,2009,206085,2024-09-06,20,Manual
1206,Fiat,Mobi,2013,130808,2024-08-27,5,Automático
1207,Nissan,Altima,2009,89583,2024-08-11,7,Manual
1208,Peugeot,2008,2016,111792,2024-08-14,11,Manual
1209,Subaru,Legacy,2014,299093,2024-08-27,26,Manual
1210,Volkswagen,Polo,2018,268802,2024-08-16,9,Automático
1211,Fiat,Mobi,2023,136795,2024-07-26,5,Automático
1212,Subaru,Ascent,2021,136836,2024-09-03,4,Automático
1213,Hyundai,Creta,2008,181939,2024-08-27,18,Manual
1214,Mercedes-Benz,A-Class,2014,158247,2024-07-29,6,Automático
1215,Kia,Cerato,2022,266399,2024-08-22,10,Automático
1216,Peugeot,Expert,2012,53410,2024-07-21,4,Manual
1217,Subaru,BRZ,2017,51431,2024-08-03,4,Manual
1218,Subaru,Ascent,2020,198648,2024-08-27,6,Automático
1219,Fiat,Argo,2014,256217,2024-08-26,21,Manual
1220,Mercedes-Benz,GLC,2009,80904,2024-09-03,5,Manual
1221,Subaru,Legacy,2017,256087,2024-09-05,19,Manual
1222,Volkswagen,Touareg,2021,201617,2024-08-28,18,Manual
1223,Kia,Sportage,2022,256923,2024-08-24,8,Automático
1224,Toyota,Etios,2023,84816,2024-08-20,7,Manual
1225,Hyundai,Kona,2011,219293,2024-08-23,7,Automático
1226,Toyota,Land Cruiser,2019,35967,2024-08-08,3,Manual
1227,Peugeot,Boxer,2010,79954,2024-08-17,7,Manual
1228,Mercedes-Benz,E-Class,2013,233882,2024-08-28,22,Manual
1229,Mercedes-Benz,C-Class,2013,24257,2024-06-09,2,Manual
1230,Toyota,Yaris,2013,165792,2024-09-01,13,Manual
1231,Toyota,Land Cruiser,2014,178819,2024-08-17,6,Automático
1232,Chevrolet,Cruz,2007,210499,2024-08-26,20,Manual
1233,BMW,i3,2010,110161,2024-07-09,4,Automático
1234,Fiat,Mobi,2015,166224,2024-07-31,6,Automático
1235,Mercedes-Benz,GLC,2022,37131,2024-06-08,2,Manual
1236,Ford,Fusion,2015,86082,2024-09-08,6,Manual
1237,Jeep,Commander,2008,114745,2024-08-12,11,Manual
1238,Fiat,Palio,2012,102770,2024-08-10,4,Automático
1239,Ford,Focus,2018,13731,2024-03-21,1,Automático
1240,Ford,Ranger,2010,155332,2024-08-30,11,Manual
1241,Chevrolet,S10,2018,105868,2024-08-04,7,Manual
1242,Hyundai,Santa Fe,2022,64523,2024-05-13,2,Automático
1243,Ford,Focus,2011,170766,2024-09-05,12,Manual
1244,Subaru,Outback,2008,30119,2024-04-23,1,Automático
1245,Peugeot,3008,2009,54720,2024-07-25,1,Automático
1246,Subaru,Legacy,2014,172191,2024-08-18,15,Manual
1247,Mitsubishi,Pajero,2020,66385,2024-07-25,5,Manual
1248,Chevrolet,Camaro,2011,94517,2024-08-18,7,Manual
1249,Fiat,Fiorino,2020,226455,2024-08-18,7,Automático
1250,Kia,Stonic,2016,194023,2024-09-04,19,Manual
1251,Ford,Fiesta,2008,157769,2024-07-20,5,Automático
1252,Toyota,Fortuner,2018,177211,2024-08-19,7,Automático
1253,Mercedes-Benz,SLC,2016,145686,2024-08-29,5,Automático
1254,Hyundai,Tucson,2023,80981,2024-08-14,5,Manual
1255,Mitsubishi,ASX,2023,85955,2024-07-19,3,Automático
1256,BMW,X5,2020,148038,2024-09-08,4,Automático
1257,Jeep,Compass,2017,56635,2024-07-11,2,Automático
1258,Kia,Soul,2017,163871,2024-09-08,6,Automático
1259,Honda,CR-V,2011,290682,2024-08-05,9,Automático
1260,Mitsubishi,Outlander,2012,285957,2024-08-28,11,Automático
1261,BMW,X1,2019,113294,2024-08-25,9,Manual
1262,Renault,Sandero,2016,246530,2024-08-29,19,Manual
1263,Chevrolet,Sonic,2021,100745,2024-08-17,7,Manual
1264,Volkswagen,Arteon,2016,277713,2024-09-03,11,Automático
1265,Kia,Soul,2022,115045,2024-08-31,3,Automático
1266,Chevrolet,Trailblazer,2021,56030,2024-08-09,5,Manual
1267,Peugeot,Expert,2007,239940,2024-08-31,20,Manual
1268,Fiat,Strada,2010,191800,2024-09-04,7,Automático
1269,Hyundai,Veloster,2020,185974,2024-09-06,15,Manual
1270,Honda,Civic,2017,282113,2024-08-07,9,Automático
1271,Jeep,Wrangler,2019,291127,2024-08-31,22,Manual
1272,Subaru,Impreza,2011,218931,2024-08-28,21,Manual
1273,Nissan,370Z,2009,38086,2024-06-19,2,Manual
1274,Volkswagen,Jetta,2023,120938,2024-08-15,12,Manual
1275,Chevrolet,Cobalt,2009,251046,2024-08-04,8,Automático
1276,BMW,M3,2008,282322,2024-09-01,10,Automático
1277,Honda,City,2013,39837,2024-08-22,3,Manual
1278,Hyundai,Creta,2023,214395,2024-08-21,18,Manual
1279,Mitsubishi,Lancer,2016,205817,2024-08-21,8,Automático
1280,Ford,Ranger,2009,290909,2024-08-21,9,Automático
1281,Ford,Fusion,2021,278997,2024-08-28,23,Manual
1282,Subaru,Tribeca,2023,83138,2024-07-20,2,Automático
1283,Toyota,Vios,2014,94106,2024-08-24,3,Automático
1284,Peugeot,Boxer,2011,148159,2024-08-28,10,Manual
1285,Renault,Logan,2022,121307,2024-08-27,4,Automático
1286,Mitsubishi,Outlander,2014,216448,2024-09-08,14,Manual
1287,Kia,Stonic,2022,101875,2024-08-12,3,Automático
1288,Toyota,C-HR,2015,73029,2024-07-27,4,Manual
1289,BMW,X5,2015,76000,2024-08-03,2,Automático
1290,Renault,Clio,2020,253524,2024-09-04,10,Automático
1291,Kia,Niro,2014,217887,2024-08-12,8,Automático
1292,Toyota,Fortuner,2023,162532,2024-08-24,5,Automático
1293,Honda,HR-V,2014,29709,2024-06-27,1,Automático
1294,Volkswagen,Virtus,2022,247601,2024-09-04,18,Manual
1295,Volkswagen,Polo,2009,184840,2024-08-20,13,Manual
1296,Volkswagen,Gol,2023,94014,2024-08-31,3,Automático
1297,Peugeot,301,2021,60311,2024-09-01,4,Manual
1298,Nissan,Frontier,2019,228276,2024-08-13,9,Automático
1299,Renault,Kangoo,2011,29697,2024-07-28,1,Automático
1300,Honda,Civic,2009,80633,2024-08-11,7,Manual
1301,Ford,Fusion,2020,253413,2024-08-27,25,Manual
1302,Ford,Mustang,2022,63435,2024-09-03,6,Manual
1303,Peugeot,208,2023,68613,2024-09-04,5,Manual
1304,Mitsubishi,Lancer,2014,116691,2024-08-17,10,Manual
1305,Subaru,Forester,2012,46365,2024-04-14,1,Automático
1306,Subaru,Forester,2023,224980,2024-09-01,17,Manual
1307,Honda,Pilot,2022,125858,2024-07-25,4,Automático
1308,Nissan,Altima,2016,113191,2024-09-03,9,Manual
1309,Volkswagen,Passat,2015,99085,2024-08-08,6,Manual
1310,Mitsubishi,Pajero,2022,118366,2024-07-28,7,Manual
1311,Chevrolet,Cobalt,2019,48331,2024-08-10,4,Manual
1312,Ford,Kuga,2014,226469,2024-09-03,20,Manual
1313,Subaru,XV,2010,209137,2024-08-21,16,Manual
1314,Ford,F-150,2014,224971,2024-08-06,8,Automático
1315,Mitsubishi,ASX,2011,21266,2024-08-18,1,Automático
1316,Renault,Mégane,2014,179461,2024-08-17,14,Manual
1317,Volkswagen,T-Cross,2009,184357,2024-08-26,12,Manual
1318,Renault,Logan,2023,223558,2024-08-16,7,Automático
1319,Ford,Fusion,2013,22314,2024-03-20,1,Manual
1320,Toyota,Corolla,2020,147721,2024-08-10,5,Automático
1321,Subaru,XV,2013,187581,2024-09-05,18,Manual
1322,Volkswagen,Up!,2008,96908,2024-08-09,3,Automático
1323,Volkswagen,Touareg,2022,100363,2024-09-05,10,Manual
1324,Mitsubishi,Eclipse Cross,2014,181962,2024-08-05,7,Automático
1325,Kia,Sportage,2016,272954,2024-09-06,9,Automático
1326,Honda,City,2008,299050,2024-09-01,11,Automático
1327,Honda,HR-V,2018,66391,2024-07-29,2,Automático
1328,Kia,Seltos,2022,97431,2024-08-01,3,Automático
1329,Ford,Fiesta,2013,263362,2024-08-21,10,Automático
1330,Subaru,Crosstrek,2010,17178,2024-07-06,1,Manual
1331,Kia,Sportage,2019,281023,2024-08-25,22,Manual
1332,Hyundai,Elantra,2019,173316,2024-08-29,17,Manual
1333,Ford,Explorer,2017,136516,2024-08-30,10,Manual
1334,Subaru,Forester,2010,36596,2024-03-23,1,Automático
1335,Ford,F-150,2023,122209,2024-07-01,4,Automático
1336,Chevrolet,Spin,2008,295613,2024-09-02,29,Manual
1337,Subaru,Outback,2012,28707,2024-05-24,2,Manual
1338,Renault,Duster,2015,87799,2024-09-08,8,Manual
1339,Chevrolet,Camaro,2013,94518,2024-08-23,7,Manual
1340,Toyota,Etios,2014,93218,2024-07-30,3,Automático
1341,Peugeot,3008,2022,58563,2024-07-26,2,Automático
1342,Nissan,Kicks,2020,149509,2024-09-06,12,Manual
1343,Kia,Cerato,2020,255670,2024-08-22,19,Manual
1344,Honda,City,2007,292319,2024-08-13,9,Automático
1345,Renault,Logan,2013,252838,2024-08-24,18,Manual
1346,Toyota,Vios,2017,32692,2024-07-11,3,Manual
1347,Hyundai,Kona,2012,194196,2024-08-05,6,Automático
1348,Ford,Kuga,2020,84619,2024-06-11,3,Automático
1349,Nissan,Versa,2021,158525,2024-08-31,15,Manual
1350,Toyota,Camry,2018,53488,2024-08-30,2,Automático
1351,Fiat,Uno,2015,278815,2024-08-21,11,Automático
1352,Chevrolet,Cobalt,2016,247776,2024-08-01,8,Automático
1353,Chevrolet,Trailblazer,2015,124063,2024-08-28,4,Automático
1354,Volkswagen,Up!,2010,146321,2024-08-31,10,Manual
1355,Hyundai,Veloster,2019,206983,2024-08-21,14,Manual
1356,Volkswagen,Jetta,2013,177490,2024-09-02,14,Manual
1357,Peugeot,Partner,2017,243134,2024-09-03,8,Automático
1358,Hyundai,Kona,2020,171743,2024-08-24,5,Automático
1359,Subaru,XV,2014,105306,2024-08-20,10,Manual
1360,Ford,F-150,2015,42230,2024-05-31,1,Automático
1361,Mitsubishi,Outlander Sport,2007,203385,2024-08-19,6,Automático
1362,Mercedes-Benz,C-Class,2014,93552,2024-08-01,3,Automático
1363,Renault,Duster,2014,281532,2024-08-24,11,Automático
1364,Honda,Accord,2008,247396,2024-08-25,18,Manual
1365,Mitsubishi,Pajero,2022,163468,2024-08-26,6,Automático
1366,Ford,Mustang,2013,200571,2024-07-25,6,Automático
1367,Jeep,Cherokee,2018,266854,2024-09-02,24,Manual
1368,BMW,Z4,2017,246561,2024-09-06,9,Automático
1369,Mercedes-Benz,GLA,2018,200262,2024-09-03,7,Automático
1370,Mercedes-Benz,G-Class,2015,126620,2024-08-05,4,Automático
1371,Mercedes-Benz,C-Class,2015,127412,2024-09-04,9,Manual
1372,Volkswagen,Amarok,2018,122250,2024-08-21,12,Manual
1373,Honda,Civic,2011,152368,2024-08-20,15,Manual
1374,Mercedes-Benz,S-Class,2007,211519,2024-08-08,7,Automático
1375,Subaru,XV,2015,129561,2024-09-05,4,Automático
1376,Nissan,Altima,2014,223997,2024-09-03,7,Automático
1377,Toyota,Vios,2023,243825,2024-09-06,17,Manual
1378,Kia,Niro,2019,229927,2024-08-24,21,Manual
1379,Kia,Sorento,2010,280920,2024-08-20,11,Automático
1380,Honda,Pilot,2019,203899,2024-08-23,18,Manual
1381,Nissan,Altima,2023,197765,2024-08-09,7,Automático
1382,Nissan,Navara,2021,208279,2024-08-27,20,Manual
1383,Mercedes-Benz,SLC,2017,115047,2024-08-16,9,Manual
1384,Honda,Insight,2019,122017,2024-08-30,4,Automático
1385,Mitsubishi,Eclipse Cross,2022,30642,2024-07-29,1,Automático
1386,Toyota,C-HR,2017,66921,2024-08-23,5,Manual
1387,Fiat,Tipo,2008,7640,2024-05-28,1,Manual
1388,Renault,Clio,2008,45637,2024-06-05,1,Automático
1389,Subaru,Legacy,2017,288375,2024-08-27,23,Manual
1390,Mercedes-Benz,GLA,2020,64778,2024-09-02,2,Automático
1391,Volkswagen,T-Cross,2007,35885,2024-08-22,3,Manual
1392,Kia,Niro,2017,49453,2024-03-14,1,Automático
1393,Jeep,Cherokee Trailhawk,2010,66978,2024-06-21,2,Automático
1394,Renault,Talisman,2007,296988,2024-09-03,28,Manual
1395,Toyota,Camry,2022,46147,2024-08-06,4,Manual
1396,BMW,Z4,2017,231410,2024-08-27,18,Manual
1397,Honda,WR-V,2014,143659,2024-09-06,4,Automático
1398,Hyundai,Creta,2023,20043,2024-05-17,1,Automático
1399,Renault,Logan,2020,167946,2024-08-18,11,Manual
1400,Mitsubishi,Outlander Sport,2008,124528,2024-09-04,12,Manual
1401,Honda,City,2019,158498,2024-08-17,10,Manual
1402,Fiat,Palio,2015,218922,2024-08-31,7,Automático
1403,Hyundai,Veloster,2008,8219,2024-05-08,1,Manual
1404,Subaru,XV,2014,25600,2024-06-06,2,Manual
1405,Toyota,Camry,2013,286425,2024-08-29,19,Manual
1406,Fiat,Bravo,2011,295656,2024-08-19,9,Automático
1407,Ford,Kuga,2011,172791,2024-08-27,12,Manual
1408,Chevrolet,Onix,2008,169900,2024-08-01,6,Automático
1409,Renault,Duster,2022,128382,2024-09-02,12,Manual
1410,Mercedes-Benz,GLA,2018,106628,2024-07-28,7,Manual
1411,Fiat,Bravo,2011,158187,2024-07-18,5,Automático
1412,Toyota,Hilux,2007,157819,2024-08-01,6,Automático
1413,Ford,F-150,2012,120679,2024-07-18,4,Automático
1414,Jeep,Commander,2020,275153,2024-08-31,9,Automático
1415,Nissan,Kicks,2013,100678,2024-08-15,8,Manual
1416,Volkswagen,T-Cross,2014,188193,2024-07-30,7,Automático
1417,Volkswagen,T-Cross,2018,292548,2024-08-24,9,Automático
1418,Volkswagen,Gol,2022,273526,2024-08-27,27,Manual
1419,Toyota,Etios,2010,28694,2024-04-20,1,Manual
1420,Mitsubishi,L200,2019,195524,2024-08-26,13,Manual
1421,Chevrolet,Trailblazer,2023,67826,2024-08-09,2,Automático
1422,Subaru,BRZ,2008,133413,2024-07-18,5,Automático
1423,Mitsubishi,Montero,2012,64958,2024-08-04,5,Manual
1424,Chevrolet,Tracker,2020,220434,2024-08-20,16,Manual
1425,Chevrolet,Spin,2015,157447,2024-08-12,5,Automático
1426,BMW,i3,2007,287959,2024-08-22,10,Automático
1427,Volkswagen,Gol,2016,128867,2024-09-04,10,Manual
1428,Toyota,Camry,2022,39824,2024-05-20,1,Automático
1429,Subaru,BRZ,2019,170913,2024-08-30,15,Manual
1430,Mercedes-Benz,S-Class,2015,32520,2024-05-25,1,Automático
1431,Renault,Zoe,2019,240262,2024-08-23,9,Automático
1432,Mercedes-Benz,GLA,2009,230841,2024-08-23,9,Automático
1433,BMW,X3,2009,213520,2024-08-28,8,Automático
1434,Peugeot,301,2008,280164,2024-09-04,25,Manual
1435,Mitsubishi,Outlander Sport,2010,226674,2024-08-21,17,Manual
1436,Mitsubishi,ASX,2023,31123,2024-07-17,2,Manual
1437,Mitsubishi,L200,2016,67424,2024-07-23,6,Manual
1438,Toyota,RAV4,2020,161472,2024-09-05,5,Automático
1439,Kia,Cerato,2016,193415,2024-08-04,7,Automático
1440,BMW,X1,2012,107072,2024-09-05,10,Manual
1441,Mitsubishi,Montero,2013,214827,2024-08-02,8,Automático
1442,Mercedes-Benz,GLC,2020,262733,2024-08-24,10,Automático
1443,Nissan,Kicks,2018,107233,2024-07-18,3,Automático
1444,Chevrolet,S10,2011,135218,2024-08-11,5,Automático
1445,Peugeot,Expert,2018,72007,2024-07-31,7,Manual
1446,Hyundai,HB20,2019,136318,2024-08-12,9,Manual
1447,Peugeot,301,2020,36234,2024-05-12,1,Automático
1448,Subaru,Forester,2023,57254,2024-08-04,2,Automático
1449,Kia,Picanto,2023,227341,2024-08-31,9,Automático
1450,Subaru,Tribeca,2020,27579,2024-03-22,1,Automático
1451,Subaru,Forester,2017,138171,2024-08-28,12,Manual
1452,Volkswagen,Arteon,2021,75034,2024-08-10,3,Automático
1453,Fiat,Argo,2018,68623,2024-07-30,2,Automático
1454,Ford,Ranger,2023,100895,2024-09-02,4,Automático
1455,Mercedes-Benz,GLA,2018,164891,2024-08-02,6,Automático
1456,Honda,CR-V,2018,28135,2024-05-20,1,Automático
1457,Mercedes-Benz,A-Class,2015,24782,2024-06-04,1,Automático
1458,Mercedes-Benz,S-Class,2011,289790,2024-09-06,10,Automático
1459,Hyundai,Santa Fe,2014,149577,2024-08-28,12,Manual
1460,Hyundai,Elantra,2021,87496,2024-06-24,3,Automático
1461,Jeep,Grand Cherokee,2010,53004,2024-06-19,3,Manual
1462,Mitsubishi,Mirage,2011,50767,2024-06-19,2,Automático
1463,Hyundai,Veloster,2022,90752,2024-07-05,3,Automático
1464,Fiat,Mobi,2015,93704,2024-07-18,3,Automático
1465,Mercedes-Benz,SLC,2010,143002,2024-07-05,4,Automático
1466,Mercedes-Benz,GLA,2020,86346,2024-09-04,8,Manual
1467,Jeep,Grand Cherokee,2011,8868,2024-04-21,1,Automático
1468,Fiat,Tipo,2023,117930,2024-09-06,10,Manual
1469,Hyundai,Veloster,2015,92274,2024-08-12,6,Manual
1470,Fiat,Tipo,2018,255949,2024-09-03,8,Automático
1471,Nissan,370Z,2010,37950,2024-09-04,2,Manual
1472,Fiat,Argo,2017,140797,2024-07-16,5,Automático
1473,Hyundai,Elantra,2015,87784,2024-07-27,3,Automático
1474,Renault,Clio,2007,48105,2024-08-31,3,Manual
1475,Subaru,Ascent,2022,214639,2024-08-25,8,Automático
1476,Fiat,Bravo,2016,73668,2024-08-29,2,Automático
1477,Nissan,March,2019,13419,2024-04-28,1,Manual
1478,Fiat,Strada,2011,45472,2024-04-25,1,Automático
1479,Nissan,Rogue,2009,191343,2024-07-27,7,Automático
1480,Honda,Pilot,2018,85631,2024-09-08,6,Manual
1481,Honda,Odyssey,2015,188870,2024-09-04,7,Automático
