Problemas,Frases
Correia dentada desgastada,O motor está fazendo um som que nunca fez antes.
Correia dentada desgastada,O carro está vibrando muito ao andar.
Correia dentada desgastada,"Quando ligo o carro, ele faz um barulho incomum."
Correia dentada desgastada,O carro parece estar perdendo potência de repente.
Correia dentada desgastada,O motor está esquentando mais do que o normal.
Correia dentada desgastada,O carro está tremendo ao tentar acelerar.
Correia dentada desgastada,Sinto uma vibração forte quando o carro está em movimento.
Correia dentada desgastada,"O carro não responde bem ao acelerar, parece fraco."
Correia dentada desgastada,"Quando dirijo, o carro faz um barulho que não é normal."
Correia dentada desgastada,O carro está com dificuldade para manter a velocidade.
Correia dentada desgastada,O motor está fazendo um som estranho ao acelerar.
Correia dentada desgastada,O carro está vibrando mais do que deveria.
Correia dentada desgastada,O carro não está funcionando suavemente como costumava.
Correia dentada desgastada,"Quando acelero, o carro parece hesitar."
Correia dentada desgastada,O motor está fazendo um barulho irregular e estranho.
Correia dentada desgastada,O carro parece estar com problemas ao subir rampas.
Correia dentada desgastada,O carro está com dificuldade para manter a marcha.
Correia dentada desgastada,O motor faz um barulho que não é normal ao girar.
Correia dentada desgastada,O carro está tendo dificuldades para andar em alta velocidade.
Correia dentada desgastada,Sinto uma falta de potência ao dirigir.
Correia dentada desgastada,O carro está fazendo um som agudo que não tinha antes.
Correia dentada desgastada,O motor está com um desempenho ruim e irregular.
Correia dentada desgastada,"Quando ligo o carro, ele faz um barulho de raspagem."
Correia dentada desgastada,O carro parece estar com dificuldade para acelerar.
Correia dentada desgastada,O motor está emitindo um som estranho quando está funcionando.
Correia dentada desgastada,O carro está com problemas de desempenho e faz barulhos estranhos.
Correia dentada desgastada,O carro está com um ruído incomum quando o acelero.
Correia dentada desgastada,O motor está fazendo um som de batida ao tentar acelerar.
Transmissão,O carro está dando trancos quando troco de marcha.
Transmissão,"A transmissão parece estar escorregando, o carro não acelera direito."
Transmissão,O carro está fazendo um barulho estranho quando mudo de marcha.
Transmissão,Sinto que o carro está patinando quando tento acelerar.
Transmissão,A marcha está difícil de engatar e o carro parece hesitar.
Transmissão,O carro está com dificuldade para trocar de marcha.
Transmissão,Sinto um tranco forte quando troco de marcha.
Transmissão,O carro está vibrando muito quando estou dirigindo.
Transmissão,"A transmissão está fazendo um som estranho, parece que está falhando."
Transmissão,"Quando o carro está em movimento, sinto um pulo nas mudanças de marcha."
Transmissão,"O carro está deslizando quando acelero, pode ser problema na transmissão."
Transmissão,O carro está demorando para responder quando mudo de marcha.
Transmissão,Sinto um barulho de engrenagem quando estou acelerando.
Transmissão,A marcha não está engatando corretamente e o carro está patinando.
Transmissão,O carro está dando trancos quando tento acelerar em subidas.
Transmissão,O carro está com dificuldades para manter uma velocidade constante.
Transmissão,A transmissão parece estar hesitante e o carro está vibrando.
Transmissão,O carro faz um barulho estranho quando engato a marcha.
Transmissão,A transmissão está pulando de marcha e o carro está instável.
Transmissão,O carro está patinando e fazendo um barulho estranho na transmissão.
Transmissão,A transmissão não está respondendo corretamente quando troco de marcha.
Transmissão,O carro está engasgando quando tento acelerar e a marcha está difícil.
Transmissão,"A transmissão parece estar desgastada, o carro está falhando."
Transmissão,Sinto que o carro está tendo dificuldade para manter a marcha.
Transmissão,"O carro está com problemas na transmissão, faz um barulho esquisito."
Transmissão,A transmissão está escorregando e o carro não está acelerando bem.
Transmissão,"Quando mudo de marcha, o carro dá um tranco forte."
Transmissão,A transmissão está fazendo um som estranho e o carro está vibrando.
Transmissão,O carro está com dificuldades para mudar de marcha e está patinando.
Transmissão,"A transmissão não está funcionando corretamente, o carro está instável."
Transmissão,Sinto um puxão na transmissão quando tento acelerar.
Transmissão,O carro está com um barulho de engrenagem e a marcha está difícil.
Transmissão,A transmissão está falhando e o carro não acelera como deveria.
Transmissão,O carro está dando trancos e a marcha está difícil de engatar.
Transmissão,O carro está patinando e a transmissão não está respondendo bem.
Transmissão,"Quando troco de marcha, o carro faz um barulho estranho."
Transmissão,A transmissão parece estar deslizando e o carro está instável.
Transmissão,O carro está com dificuldades para manter a velocidade e a marcha.
Transmissão,"A transmissão está com problemas, o carro está fazendo um barulho esquisito."
Transmissão,Sinto um tranco forte e o carro está patinando quando acelero.
Transmissão,A transmissão está vibrando e o carro está com dificuldades para trocar de marcha.
Transmissão,"O carro está com problemas na transmissão, está deslizando e fazendo barulho."
Transmissão,A marcha não está engatando bem e o carro está com um barulho estranho.
Transmissão,"A transmissão não está respondendo corretamente, o carro está instável."
Transmissão,"O carro está com problemas na transmissão, parece que está patinando."
Transmissão,Sinto que a transmissão está falhando e o carro está engasgando.
Transmissão,A transmissão está fazendo um barulho esquisito e o carro está difícil de dirigir.
Transmissão,"Quando mudo de marcha, o carro faz um tranco forte e a marcha está difícil."
Falha na Bomba de Combustível,"O carro está com dificuldade para ligar, pode ser a bomba de combustível."
Falha na Bomba de Combustível,"Sinto que o carro está falhando quando acelero, talvez seja a bomba de combustível."
Falha na Bomba de Combustível,"A bomba de combustível pode estar com problema, o carro não está respondendo direito."
Falha na Bomba de Combustível,"O carro está morrendo no meio da estrada, pode ser a bomba de combustível."
Falha na Bomba de Combustível,"Tenho que dar várias partidas para o carro ligar, a bomba pode estar falhando."
Falha na Bomba de Combustível,O carro está com problemas para pegar e parece que não chega combustível suficiente.
Falha na Bomba de Combustível,"Sinto que o motor está falhando, pode ser a bomba de combustível que não está funcionando bem."
Falha na Bomba de Combustível,O carro está com dificuldades para manter a marcha e pode ser a bomba de combustível.
Falha na Bomba de Combustível,"Quando acelero, o carro não responde bem, talvez a bomba de combustível esteja com problema."
Falha na Bomba de Combustível,O motor está engasgando e pode ser que a bomba de combustível esteja falhando.
Falha na Bomba de Combustível,O carro está fazendo um barulho estranho e não está ligando direito.
Falha na Bomba de Combustível,"A bomba de combustível pode estar com defeito, o carro está com dificuldade para acelerar."
Falha na Bomba de Combustível,"O carro está demorando para responder quando acelero, pode ser a bomba de combustível."
Falha na Bomba de Combustível,"Sinto que o carro está morrendo quando estou dirigindo, talvez seja a bomba de combustível."
Falha na Bomba de Combustível,O carro não está pegando direito e pode ser que a bomba de combustível esteja com problema.
Falha na Bomba de Combustível,"A bomba de combustível pode estar entupida, o carro não está funcionando bem."
Falha na Bomba de Combustível,"Quando o carro liga, ele dá uma engasgada, pode ser a bomba de combustível."
Falha na Bomba de Combustível,O carro está com problemas na aceleração e pode ser a bomba de combustível que está falhando.
Falha na Bomba de Combustível,"Sinto que o carro não está recebendo combustível suficiente, pode ser a bomba de combustível."
Falha na Bomba de Combustível,O carro está com dificuldades para manter o funcionamento e a bomba de combustível pode ser a causa.
Falha na Bomba de Combustível,"Quando acelero, o carro parece estar sem potência, talvez seja a bomba de combustível."
Falha na Bomba de Combustível,O carro está morrendo com frequência e pode ser que a bomba de combustível esteja com problema.
Falha na Bomba de Combustível,"A bomba de combustível pode estar com defeito, o carro está com dificuldades para ligar."
Falha na Bomba de Combustível,O carro está com problemas na partida e a bomba de combustível pode ser a causa.
Falha na Bomba de Combustível,Sinto que o motor está fraco e pode ser a bomba de combustível que não está funcionando bem.
Falha na Bomba de Combustível,"O carro não está respondendo como deveria, talvez seja a bomba de combustível com problema."
Falha na Bomba de Combustível,"A bomba de combustível pode estar falhando, o carro está com dificuldade para acelerar."
Falha na Bomba de Combustível,O carro está dando trancos e pode ser que a bomba de combustível esteja com defeito.
Falha na Bomba de Combustível,"Quando ligo o carro, ele engasga e pode ser a bomba de combustível a responsável."
Falha na Bomba de Combustível,O carro está com problemas de partida e a bomba de combustível pode estar com problema.
Falha na Bomba de Combustível,Sinto que a bomba de combustível não está entregando o combustível corretamente.
Falha na Bomba de Combustível,O carro está falhando na aceleração e a bomba de combustível pode ser a causa.
Falha na Bomba de Combustível,"A bomba de combustível pode estar com problema, o carro está com dificuldade para pegar."
Falha na Bomba de Combustível,O carro está com dificuldades para manter a velocidade e pode ser a bomba de combustível.
Falha na Bomba de Combustível,O motor está com baixa potência e pode ser que a bomba de combustível esteja falhando.
Falha na Bomba de Combustível,"Quando acelero, o carro não responde bem e pode ser a bomba de combustível."
Falha na Bomba de Combustível,O carro está com dificuldades para funcionar e a bomba de combustível pode ser a causa.
Falha na Bomba de Combustível,"A bomba de combustível pode estar entupida, o carro está engasgando."
Falha na Bomba de Combustível,"Sinto que o carro não está recebendo combustível suficiente, pode ser a bomba de combustível."
Falha na Bomba de Combustível,O carro está com dificuldades para acelerar e pode ser a bomba de combustível.
Falha na Bomba de Combustível,"Quando o carro liga, ele dá um engasgado, talvez seja a bomba de combustível."
Falha na Bomba de Combustível,O carro está com um funcionamento irregular e a bomba de combustível pode ser a causa.
Falha na Bomba de Combustível,"A bomba de combustível pode estar com defeito, o carro está morrendo frequentemente."
Falha na Bomba de Combustível,O carro está com problemas na aceleração e pode ser a bomba de combustível que está falhando.
Falha na Bomba de Combustível,Sinto que a bomba de combustível não está entregando o combustível corretamente ao motor.
Falha na Bomba de Combustível,O carro está com dificuldades para pegar e a bomba de combustível pode estar com problema.
Falha na Bomba de Combustível,"Quando acelero, o carro parece não responder bem, talvez seja a bomba de combustível."
Falha na Bomba de Combustível,O carro está morrendo no trânsito e a bomba de combustível pode ser a causa.
Disco de freio desgastado,Os freios estão fazendo um barulho estranho quando eu paro o carro.
Disco de freio desgastado,Sinto uma vibração no volante quando eu uso os freios.
Disco de freio desgastado,"O carro está com um ruído agudo ao frear, pode ser que o disco esteja desgastado."
Disco de freio desgastado,"A frenagem está irregular, talvez o disco de freio esteja desgastado."
Disco de freio desgastado,"Quando eu freio, o carro está tremendo, acho que os discos de freio estão ruins."
Disco de freio desgastado,O carro está fazendo um barulho alto quando eu aplico o freio.
Disco de freio desgastado,"Sinto que o carro está vibrando ao frear, pode ser que o disco esteja desgastado."
Disco de freio desgastado,Os freios estão chiando e o carro não para tão bem quanto antes.
Disco de freio desgastado,"A sensação de frenagem está estranha, pode ser disco de freio desgastado."
Disco de freio desgastado,"Quando freio, sinto um tranco e um barulho estranho."
Disco de freio desgastado,"O carro está puxando para um lado quando eu freio, pode ser o disco de freio."
Disco de freio desgastado,O pedal de freio está vibra quando eu aplico os freios.
Disco de freio desgastado,"Sinto um barulho metálico ao frear, acho que é disco de freio desgastado."
Disco de freio desgastado,"Os freios não estão funcionando bem, pode ser disco de freio que precisa ser trocado."
Disco de freio desgastado,O carro está fazendo um barulho como se algo estivesse raspando ao frear.
Disco de freio desgastado,"A frenagem está inconstante, talvez os discos de freio estejam desgastados."
Disco de freio desgastado,O carro está com dificuldade para parar e os freios estão fazendo barulho.
Disco de freio desgastado,"Quando freio, sinto um estalo e uma vibração no volante."
Disco de freio desgastado,O carro não está parando suavemente e os freios estão fazendo um som estranho.
Disco de freio desgastado,O pedal de freio está mais baixo e o carro está freando mal.
Disco de freio desgastado,"Sinto um ruído de raspagem quando uso os freios, pode ser disco de freio desgastado."
Disco de freio desgastado,Os freios estão fazendo um barulho de metal e não estão parando bem.
Disco de freio desgastado,"Quando freio, o carro está tremendo e o volante também."
Disco de freio desgastado,O carro está com problemas na frenagem e pode ser o disco de freio.
Disco de freio desgastado,Sinto um barulho alto quando aplico os freios e o carro está vibrando.
Disco de freio desgastado,"A frenagem está muito irregular, talvez seja disco de freio desgastado."
Disco de freio desgastado,Os freios estão fazendo um barulho de raspagem e o carro está trepidando.
Disco de freio desgastado,O carro está freando de forma estranha e os discos podem estar ruins.
Disco de freio desgastado,"Quando eu paro o carro, ele faz um som alto e vibrante."
Disco de freio desgastado,Os freios estão com dificuldade para parar o carro e fazem barulho.
Disco de freio desgastado,Sinto uma vibração no pedal de freio e um barulho alto ao frear.
Disco de freio desgastado,O carro está vibrando muito ao frear e os freios estão fazendo um som estranho.
Disco de freio desgastado,"Os discos de freio podem estar desgastados, o carro está fazendo barulho ao frear."
Disco de freio desgastado,"Quando eu freio, o carro está fazendo um som de raspagem metálica."
Disco de freio desgastado,Os freios estão com dificuldade para parar o carro suavemente e fazem barulho.
Disco de freio desgastado,O carro está com uma frenagem instável e os discos de freio podem estar ruins.
Disco de freio desgastado,"Sinto que os freios estão falhando, pode ser disco de freio desgastado."
Disco de freio desgastado,O carro está com uma frenagem irregular e o volante vibra ao frear.
Disco de freio desgastado,"Os discos de freio podem estar desgastados, o carro está fazendo um barulho ao parar."
Disco de freio desgastado,"Quando aplico os freios, o carro faz um som de metal e treme."
Disco de freio desgastado,O carro está com dificuldade para parar e os freios estão fazendo um barulho alto.
Disco de freio desgastado,Sinto uma vibração no carro ao frear e o pedal está com um ruído estranho.
Disco de freio desgastado,O carro está fazendo um barulho de raspagem e não está parando suavemente.
Disco de freio desgastado,"Os discos de freio podem estar desgastados, o carro está com uma frenagem estranha."
Disco de freio desgastado,"Quando eu uso os freios, o carro está fazendo um som metálico e vibrando."
Disco de freio desgastado,Os freios estão com um barulho alto e o carro está vibrando ao parar.
Disco de freio desgastado,O carro está fazendo um barulho de raspagem e a frenagem está irregular.
Disco de freio desgastado,Sinto que o carro está freando mal e os discos de freio podem estar desgastados.
Disco de freio desgastado,Os freios estão com um som estranho e o carro está vibrando quando eu paro.
Ar-condicionado,O ar condicionado não está gelando como deveria.
Ar-condicionado,O carro está com o ar condicionado funcionando apenas em um lado.
Ar-condicionado,O ar condicionado faz um barulho estranho quando está ligado.
Ar-condicionado,Sinto um cheiro ruim vindo do ar condicionado.
Ar-condicionado,O ar condicionado está vazando água dentro do carro.
Ar-condicionado,O ar condicionado não está ligando de jeito nenhum.
Ar-condicionado,"O carro está demorando muito para esfriar, acho que é o ar condicionado."
Ar-condicionado,O ar condicionado está só soprando ar quente.
Ar-condicionado,Avental de ar condicionado não está mais frio como antes.
Ar-condicionado,O controle do ar condicionado não responde.
Ar-condicionado,O ar condicionado está fazendo um barulho de estalo.
Ar-condicionado,O ar condicionado não está conseguindo manter a temperatura desejada.
Ar-condicionado,Sinto um cheiro de queimado quando ligo o ar condicionado.
Ar-condicionado,O ar condicionado está emitindo um som de zumbido.
Ar-condicionado,O fluxo de ar do ar condicionado está fraco.
Ar-condicionado,O ar condicionado está congelando as saídas de ar.
Ar-condicionado,O ar condicionado está com dificuldade para começar a esfriar.
Ar-condicionado,A temperatura do ar condicionado parece estar desregulada.
Ar-condicionado,O ar condicionado não está mais resfriando o carro efetivamente.
Ar-condicionado,Sinto que o ar condicionado está ligando e desligando sozinho.
Ar-condicionado,O ar condicionado está saindo com um odor estranho.
Ar-condicionado,O ar condicionado não está resfriando o carro uniformemente.
Ar-condicionado,Há um barulho contínuo quando o ar condicionado está ligado.
Ar-condicionado,O ar condicionado não está mais respondendo aos comandos.
Ar-condicionado,A temperatura do ar condicionado está muito alta ou muito baixa.
Ar-condicionado,O ar condicionado está esfriando muito pouco.
Ar-condicionado,Sinto um cheiro de mofo vindo do ar condicionado.
Ar-condicionado,O ar condicionado faz um barulho de vento forte e irregular.
Ar-condicionado,O ar condicionado está com dificuldade para ajustar a temperatura.
Ar-condicionado,"Há uma perda de eficiência no ar condicionado, está demorando para esfriar."
Ar-condicionado,O ar condicionado não está saindo o suficiente através das saídas de ar.
Ar-condicionado,O ar condicionado parece estar com algum problema de pressão.
Ar-condicionado,Há uma corrente de ar irregular com o ar condicionado ligado.
Ar-condicionado,O ar condicionado está soltando ar quente em vez de frio.
Ar-condicionado,O ar condicionado está falhando ao tentar esfriar rapidamente.
Ar-condicionado,Sinto um barulho metálico no ar condicionado.
Ar-condicionado,O ar condicionado está funcionando de forma intermitente.
Ar-condicionado,O ar condicionado não está regulando a temperatura corretamente.
Ar-condicionado,Sinto que o ar condicionado está esquentando o carro.
Ar-condicionado,Há um cheiro de líquido queimado vindo do ar condicionado.
Ar-condicionado,O ar condicionado não está mantendo a mesma temperatura ao longo do tempo.
Ar-condicionado,Sinto que o ar condicionado não está refrigerando como deveria.
Ar-condicionado,O ar condicionado está fazendo um som de borbulhas.
Ar-condicionado,O ar condicionado está falhando ao tentar refrescar o interior do carro.
Ar-condicionado,O ar condicionado parece estar com problemas na ventilação.
Ar-condicionado,Há um cheiro estranho e o ar condicionado não está gelando.
Ar-condicionado,O ar condicionado está com problemas para ajustar o fluxo de ar.
Ar-condicionado,"O ar condicionado está funcionando de forma irregular, às vezes não liga."
Ar-condicionado,O ar condicionado está com um desempenho muito abaixo do esperado.
Suspensão danificada,O carro parece estar balançando quando passo por buracos.
Suspensão danificada,"Sinto que a direção está instável, especialmente em alta velocidade."
Suspensão danificada,"Quando faço curvas, o carro parece descontrolado."
Suspensão danificada,O carro faz um barulho estranho quando passo por lombadas.
Suspensão danificada,Parece que a frente do carro está mais baixa do que o normal.
Suspensão danificada,Sinto um tremor no volante em estradas ruins.
Suspensão danificada,A suspensão faz um barulho metálico quando ando.
Suspensão danificada,O carro balança demais quando freio.
Suspensão danificada,É muito desconfortável passar por estradas esburacadas.
Suspensão danificada,A direção está muito pesada e difícil de manobrar.
Suspensão danificada,O carro pula quando passo por irregularidades na estrada.
Suspensão danificada,"Sinto que o carro está instável, especialmente em curvas."
Suspensão danificada,Há um estalo vindo de baixo do carro quando passo por buracos.
Suspensão danificada,A traseira do carro balança muito.
Suspensão danificada,O carro se inclina muito para os lados em curvas.
Suspensão danificada,O volante vibra em superfícies ásperas.
Suspensão danificada,Sinto como se o carro estivesse flutuando.
Suspensão danificada,O carro tem dificuldade em manter a trajetória reta.
Suspensão danificada,A suspensão bate quando faço movimentos rápidos.
Suspensão danificada,O carro fica muito sensível a pequenos desníveis na estrada.
Suspensão danificada,Sinto um solavanco forte ao passar por lombadas.
Suspensão danificada,Há um barulho de rotação irregular vindo das rodas.
Suspensão danificada,A suspensão parece estar muito baixa e arrastando.
Suspensão danificada,O carro faz um ruído de raspagem na estrada.
Suspensão danificada,A direção está frouxa e não responde bem.
Suspensão danificada,Sinto que o carro se inclina muito para frente ao frear.
Suspensão danificada,"Quando faço uma curva, o carro parece afundar."
Suspensão danificada,A suspensão está deixando o carro muito desconfortável.
Suspensão danificada,O carro faz um som estranho em superfícies ásperas.
Suspensão danificada,"A sensação de estabilidade está muito ruim, especialmente em alta velocidade."
Suspensão danificada,Sinto uma vibração constante que parece vir da suspensão.
Suspensão danificada,A suspensão está muito rígida e desconfortável.
Suspensão danificada,O carro balança muito em ruas irregulares.
Suspensão danificada,A traseira do carro afunda com passageiros no banco de trás.
Suspensão danificada,O carro salta ao passar por irregularidades na pista.
Suspensão danificada,Sinto uma sensação de 'cavalinho' ao dirigir sobre buracos.
Suspensão danificada,A suspensão parece não absorver impactos corretamente.
Suspensão danificada,O carro balança para os lados durante a aceleração.
Suspensão danificada,A estabilidade do carro está muito comprometida.
Suspensão danificada,Sinto um barulho de soco vindo da parte inferior do carro.
Suspensão danificada,O carro tem dificuldade em manter o alinhamento da direção.
Suspensão danificada,A suspensão está desajustada e causa desconforto.
Suspensão danificada,O carro faz um barulho de estalo constante ao passar por buracos.
Suspensão danificada,A sensação de controle do carro está muito reduzida.
Suspensão danificada,O carro bate mais do que o normal ao dirigir sobre estradas ruins.
Suspensão danificada,A suspensão faz um barulho de atrito em irregularidades.
Suspensão danificada,Sinto que o carro perde o controle facilmente.
Suspensão danificada,O carro faz um som de tamborilamento quando a suspensão é pressionada.
Suspensão danificada,A direção está muito imprecisa e frouxa.
Suspensão danificada,O carro faz um barulho de crepitação quando o peso é transferido para um lado.
Suspensão danificada,Sinto que o carro está sempre balançando quando dirijo.
Suspensão danificada,O carro faz um som estranho ao passar por estradas esburacadas.
Suspensão danificada,A sensação ao dirigir está muito ruim e desconfortável.
Suspensão danificada,O carro está desestabilizado e não responde bem.
Suspensão danificada,A suspensão parece estar muito danificada e não absorve bem os impactos.
Suspensão danificada,Sinto uma vibração no volante e no banco ao dirigir.
Suspensão danificada,O carro parece estar constantemente em desequilíbrio.
Suspensão danificada,A direção está muito instável e difícil de controlar.
Suspensão danificada,O carro faz um barulho de estalo quando passo por lombadas.
Suspensão danificada,A suspensão parece estar muito baixa e causando problemas.
Suspensão danificada,Sinto que o carro está perdendo a estabilidade durante a condução.
Bomba de água com defeito,O carro está superaquecendo frequentemente.
Bomba de água com defeito,Sinto um cheiro de queimado vindo do motor.
Bomba de água com defeito,O motor está esquentando muito rápido.
Bomba de água com defeito,Tem um vazamento de líquido embaixo do carro.
Bomba de água com defeito,A luz de temperatura está acesa o tempo todo.
Bomba de água com defeito,O carro faz um barulho estranho quando o motor está quente.
Bomba de água com defeito,Sinto que o motor está fervendo.
Bomba de água com defeito,O carro está perdendo muito líquido de arrefecimento.
Bomba de água com defeito,A ventoinha do motor está funcionando o tempo todo.
Bomba de água com defeito,Há um som de borbulhamento vindo do motor.
Bomba de água com defeito,O carro está esquentando mais do que o normal em viagens longas.
Bomba de água com defeito,Tem um líquido verde no chão da garagem.
Bomba de água com defeito,A temperatura do motor não para de subir.
Bomba de água com defeito,O motor faz um som estranho e está superaquecendo.
Bomba de água com defeito,Sinto um cheiro forte de líquido quente vindo do motor.
Bomba de água com defeito,O carro está com dificuldades para manter a temperatura normal.
Bomba de água com defeito,A luz de alerta de temperatura está piscando.
Bomba de água com defeito,O motor parece estar muito quente e não esfria.
Bomba de água com defeito,O carro está derramando líquido de arrefecimento.
Bomba de água com defeito,Sinto um cheiro de líquido de arrefecimento queimado.
Bomba de água com defeito,O carro está fazendo um barulho de gotejamento constante.
Bomba de água com defeito,O nível de líquido de arrefecimento está sempre baixo.
Bomba de água com defeito,Há um som de água borbulhando quando o motor está quente.
Bomba de água com defeito,O carro está superaquecendo mesmo com o ar condicionado desligado.
Bomba de água com defeito,Tem uma poça de fluido de arrefecimento no chão da garagem.
Bomba de água com defeito,A ventoinha está girando o tempo todo e o motor continua quente.
Bomba de água com defeito,Sinto um cheiro de queimado quando o motor está esquentando.
Bomba de água com defeito,O carro está esquentando muito e a luz de temperatura está acesa.
Bomba de água com defeito,O motor parece estar superaquecendo sem motivo aparente.
Bomba de água com defeito,O carro faz um barulho de água fervendo quando está quente.
Bomba de água com defeito,A temperatura do motor sobe rapidamente e não volta ao normal.
Bomba de água com defeito,O carro está perdendo líquido de arrefecimento de forma constante.
Bomba de água com defeito,A ventoinha do radiador está funcionando sem parar.
Bomba de água com defeito,O motor está muito quente e a luz de temperatura está piscando.
Bomba de água com defeito,Há um vazamento de líquido verde embaixo do carro.
Bomba de água com defeito,O carro faz um som de borbulhamento constante e o motor esquenta.
Bomba de água com defeito,O líquido de arrefecimento está evaporando rapidamente.
Bomba de água com defeito,Sinto um cheiro forte de líquido queimado no motor.
Bomba de água com defeito,O carro está superaquecendo mesmo com o radiador cheio.
Bomba de água com defeito,O motor está esquentando e o carro está perdendo desempenho.
Bomba de água com defeito,A temperatura do motor não estabiliza e continua subindo.
Bomba de água com defeito,O carro está fazendo um barulho estranho e o motor está quente.
Bomba de água com defeito,O nível de fluido de arrefecimento está baixo e o motor está quente.
Bomba de água com defeito,Sinto uma sensação de calor excessivo vindo do motor.
Bomba de água com defeito,O carro está perdendo líquido de arrefecimento e a temperatura sobe.
Bomba de água com defeito,Há um som de borbulhamento quando o motor está quente.
Bomba de água com defeito,O carro está superaquecendo mesmo após o motor estar em marcha lenta.
Bomba de água com defeito,A ventoinha está funcionando em alta velocidade o tempo todo.
Bomba de água com defeito,O líquido de arrefecimento está vazando e o motor está superaquecendo.
Bomba de água com defeito,Sinto um cheiro de líquido quente e o motor está quente.
Bomba de água com defeito,O carro está esquentando e a ventoinha não para de funcionar.
Bomba de água com defeito,O motor faz um barulho de borbulhamento e o carro superaquecendo.
Bomba de água com defeito,Há um vazamento de fluido de arrefecimento e a temperatura está alta.
Sensor de oxigênio defeituoso,O carro está consumindo mais combustível do que o normal.
Sensor de oxigênio defeituoso,A luz do motor está acesa e não apaga.
Sensor de oxigênio defeituoso,O carro está fazendo mais fumaça do que o habitual.
Sensor de oxigênio defeituoso,A aceleração está lenta e o motor não responde bem.
Sensor de oxigênio defeituoso,O carro está emitindo um cheiro estranho.
Sensor de oxigênio defeituoso,O consumo de combustível aumentou drasticamente.
Sensor de oxigênio defeituoso,Sinto que o carro está falhando quando acelero.
Sensor de oxigênio defeituoso,O motor está funcionando irregularmente.
Sensor de oxigênio defeituoso,A luz de verificação do motor está piscando.
Sensor de oxigênio defeituoso,O carro está tendo dificuldade para manter a marcha lenta.
Sensor de oxigênio defeituoso,O carro está com um desempenho ruim e o consumo está alto.
Sensor de oxigênio defeituoso,Há um cheiro de gasolina no escape.
Sensor de oxigênio defeituoso,O carro está engasgando e não tem a mesma potência de antes.
Sensor de oxigênio defeituoso,A luz de diagnóstico do motor acendeu e o carro está com um desempenho estranho.
Sensor de oxigênio defeituoso,O carro faz um barulho estranho e não está funcionando corretamente.
Sensor de oxigênio defeituoso,O motor está mais ruidoso e o consumo de combustível aumentou.
Sensor de oxigênio defeituoso,Sinto que o carro não está rodando tão suavemente quanto antes.
Sensor de oxigênio defeituoso,A luz do motor acendeu e o carro está com desempenho abaixo do esperado.
Sensor de oxigênio defeituoso,O carro está emitindo gases estranhos pelo escapamento.
Sensor de oxigênio defeituoso,A aceleração do carro está irregular e o consumo de combustível subiu.
Sensor de oxigênio defeituoso,O motor está esquentando mais rápido do que o normal.
Sensor de oxigênio defeituoso,O carro está falhando e o cheiro de gasolina está mais forte.
Sensor de oxigênio defeituoso,A luz de verificação do motor está piscando constantemente.
Sensor de oxigênio defeituoso,O carro está com o desempenho ruim e o motor parece estar lutando para funcionar.
Sensor de oxigênio defeituoso,Sinto que o carro está consumindo mais combustível sem motivo aparente.
Sensor de oxigênio defeituoso,O carro está com problemas para acelerar e a luz do motor está acesa.
Sensor de oxigênio defeituoso,O desempenho do motor caiu e o consumo de combustível aumentou.
Sensor de oxigênio defeituoso,O carro está com dificuldade para manter a marcha lenta e a luz do motor está acesa.
Sensor de oxigênio defeituoso,Há um cheiro de combustível no ar e o carro está funcionando mal.
Sensor de oxigênio defeituoso,O motor está esquentando mais rápido e o consumo de combustível aumentou.
Sensor de oxigênio defeituoso,O carro está emitindo fumaça e a luz de verificação do motor está acesa.
Sensor de oxigênio defeituoso,Sinto um cheiro forte de gasolina e o carro não está acelerando corretamente.
Sensor de oxigênio defeituoso,A luz de diagnóstico do motor está acesa e o desempenho está ruim.
Sensor de oxigênio defeituoso,O carro está com dificuldades para manter a marcha lenta e o consumo aumentou.
Sensor de oxigênio defeituoso,A luz do motor está piscando e o carro está com o desempenho irregular.
Sensor de oxigênio defeituoso,O carro está com um desempenho abaixo do esperado e a luz do motor está acesa.
Sensor de oxigênio defeituoso,O consumo de combustível subiu e o carro está com problemas de aceleração.
Sensor de oxigênio defeituoso,O motor está emitindo gases estranhos e a luz de verificação está acesa.
Sensor de oxigênio defeituoso,O carro está falhando e a luz do motor está piscando constantemente.
Sensor de oxigênio defeituoso,A aceleração está irregular e o carro está consumindo mais combustível.
Sensor de oxigênio defeituoso,O carro está emitindo um cheiro forte e a luz do motor está acesa.
Sensor de oxigênio defeituoso,O desempenho do carro caiu e a luz de diagnóstico do motor está piscando.
Sensor de oxigênio defeituoso,O motor está mais ruidoso e o consumo de combustível aumentou.
Sensor de oxigênio defeituoso,Sinto que o carro não está acelerando como deveria e a luz do motor está acesa.
Sensor de oxigênio defeituoso,O carro está com dificuldade para funcionar e o consumo de combustível subiu.
Sensor de oxigênio defeituoso,A luz de verificação do motor está piscando e o desempenho do carro está ruim.
Sensor de oxigênio defeituoso,O carro está emitindo fumaça e o desempenho caiu.
Sensor de oxigênio defeituoso,O consumo de combustível está alto e o motor está funcionando de forma irregular.
Sensor de oxigênio defeituoso,O carro está com o desempenho ruim e a luz do motor está acesa.
Sistema de escapamento,O carro está fazendo um barulho estranho quando acelero.
Sistema de escapamento,Tem um cheiro forte de gases vindo do escapamento.
Sistema de escapamento,A luz do motor está acesa e o carro está com um desempenho ruim.
